localization,price,area,rooms,status,floor,heating_type,size,balkon,ogródek,taras
 Podgórze,810103.0,60.91,4 ,do wykończenia,1,miejskie,large,1,0,0
 Prądnik Czerwony,1178000.0,74.96,3 ,do wykończenia,0,miejskie,large,0,1,0
 Czyżyny,592014.0,35.45,2 ,do wykończenia,1,miejskie,medium,1,0,0
 Podgórze Duchackie,1299000.0,121.76,4,do wykończenia,1,miejskie,huge,0,1,1
 Bieńczyce,510000.0,40.5,2 ,do remontu,3,miejskie,medium,1,0,0
 Czyżyny,979000.0,77.2,4 ,do zamieszkania,1,miejskie,large,1,0,0
 Bieńczyce,680000.0,52.0,2 ,do zamieszkania,6,miejskie,medium,1,0,0
 Stare Miasto,748000.0,34.0,2,do zamieszkania,2,gazowe,medium,1,0,0
 Podgórze,899705.0,49.95,3 ,do zamieszkania,3,miejskie,medium,1,0,0
 Krowodrza,540000.0,34.0,2 ,do zamieszkania,0,miejskie,medium,1,0,0
 Krowodrza,1600000.0,90.52,5 ,do zamieszkania,3,miejskie,huge,0,1,0
 Prądnik Biały,459000.0,28.0,1,do zamieszkania,4,miejskie,small,1,0,0
 Prądnik Biały,610000.0,25.0,1,do zamieszkania,1,miejskie,small,1,0,0
 Zwierzyniec,1349000.0,68.75,3 ,do wykończenia,1,miejskie,large,1,0,0
 Swoszowice,639000.0,41.5,2 ,do zamieszkania,0,inne,medium,0,1,1
 Podgórze Duchackie,579000.0,38.0,2 ,do zamieszkania,0,miejskie,medium,1,0,0
 Grzegórzki,749000.0,30.72,2,do wykończenia,0,miejskie,medium,0,1,1
 Prądnik Biały,640000.0,46.53,3 ,do zamieszkania,4,miejskie,medium,1,0,0
 Krowodrza,1190000.0,47.0,2 ,do zamieszkania,7,miejskie,medium,1,0,1
 Nowa Huta,864500.0,51.0,2 ,do zamieszkania,0,miejskie,medium,1,0,0
 Bieńczyce,662000.0,58.95,3 ,do wykończenia,4,miejskie,medium,1,0,0
 Prądnik Biały,1053000.0,59.28,3 ,do zamieszkania,0,miejskie,medium,1,0,0
 Podgórze,1045690.0,103.69,5 ,do wykończenia,2,miejskie,huge,1,0,0
 Mistrzejowice,895000.0,72.5,4 ,do remontu,1,miejskie,large,1,0,0
 Krowodrza,1350000.0,82.63,4 ,do wykończenia,5,miejskie,large,0,0,1
 Swoszowice,535000.0,56.3,2 ,do zamieszkania,0,miejskie,medium,0,1,0
 Krowodrza,1699000.0,147.84,5 ,do wykończenia,1,miejskie,huge,1,0,0
 Prądnik Biały,1448000.0,121.05,5 ,do wykończenia,1,miejskie,huge,0,0,1
 Podgórze,728000.0,52.0,3 ,do wykończenia,0,miejskie,medium,0,1,0
 Grzegórzki,749000.0,47.5,2 ,do wykończenia,1,miejskie,medium,1,0,0
 Podgórze,699999.0,41.62,2 ,do zamieszkania,1,miejskie,medium,1,0,0
 Grzegórzki,699990.0,27.49,1,do wykończenia,7,miejskie,small,1,0,0
 Prądnik Biały,800000.0,56.42,3 ,do zamieszkania,1,miejskie,medium,1,0,0
 Bieżanów-Prokocim,780000.0,60.0,3 ,do zamieszkania,0,gazowe,medium,0,1,1
 Stare Miasto,1182919.5,47.94,2 ,do wykończenia,3,miejskie,medium,1,0,0
 Podgórze,349000.0,18.0,1,do zamieszkania,0,gazowe,small,1,0,0
 Mistrzejowice,1020360.0,92.76,4 ,do wykończenia,4,miejskie,huge,1,0,0
 Prądnik Biały,920000.0,69.02,4 ,do zamieszkania,3,miejskie,large,1,0,0
 Stare Miasto,895000.0,39.0,2 ,do zamieszkania,0,gazowe,medium,1,0,0
 Mistrzejowice,749000.0,53.35,3 ,do zamieszkania,10,miejskie,medium,1,0,0
 Stare Miasto,2254073.0,113.27,3 ,do wykończenia,2,miejskie,huge,1,0,0
 Krowodrza,1049000.0,57.7,2 ,do zamieszkania,2,miejskie,medium,1,0,0
 Prądnik Biały,754000.0,53.1,3 ,do wykończenia,1,miejskie,medium,1,0,0
 Krowodrza,959175.0,63.0,3 ,do wykończenia,1,miejskie,large,1,0,0
 Dębniki,750000.0,52.0,3 ,do zamieszkania,2,gazowe,medium,1,0,0
 Krowodrza,1050000.0,55.75,3 ,do zamieszkania,4,miejskie,medium,1,0,0
 Krowodrza,1385022.0,77.16,3 ,do wykończenia,1,miejskie,large,1,0,0
 Dębniki,1065000.0,105.0,3 ,do zamieszkania,3,miejskie,huge,1,0,0
 Mistrzejowice,710000.0,48.0,3 ,do zamieszkania,1,miejskie,medium,1,0,0
 os. Urocze,409000.0,17.57,1,do zamieszkania,3,miejskie,small,0,0,0
 Dębniki,877968.0,60.97,3 ,do wykończenia,3,miejskie,large,1,0,0
 Prądnik Czerwony,878000.0,57.25,2 ,do wykończenia,0,miejskie,medium,0,1,0
 Prądnik Biały,495000.0,31.75,2,do zamieszkania,7,miejskie,medium,1,0,0
 Bieżanów-Prokocim,780000.0,51.8,2 ,do zamieszkania,1,kotłownia,medium,1,0,0
